"","x"
"61","the snow will turn into hot water <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+613C><U+3E37><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+613C><U+3E37><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+613C><U+3E37> you can use the hot water to cook maggi mee and make tea <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E61>it rhymed"
"62","after maggi fafda ganthiya from rajkot were sent for lab testing at delhi the following report came

sendgm every s…"
"63","overdeaths in hooch tragedy in mumbai if maggi can be banned then why not illicit liquor"
"64","fancamtara like the first timenanjing concert jiyeon"
"65","example of overexposure to the lead inside maggi"
"66","minute silence for maggi <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E64><U+393C><U+3E63>"
"67","video maggi mess celebrities in trouble"
"68","virgos wont compliment you unless they mean it"
"69","im gonna to make maggi its better to die due to maggi instead of hunger"
"70","maggi is bannedgtgt containing lead great
tobacco is still continuingas if it contains proteinsminerals amp vitamins<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E35><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E30> …"
"71","aftermagginowdettol soap fails lab test called ‘substandard’"
"72","yep always gonna remember this one itll be a story to laugh on one day"
"73","between haldirams and maggi im just surprised were all still alive"
"74","nay have taken a vow never to go near the packaged stuff long before maggi controversy"
"75","masak maggi and while its still hot letakslices of chesse and makan sedap nak mampos"
"76","after maggi now dettol soap fails lab test called ‘substandard’"
"77","nestle pulls maggi noodles in india"
"78","im gonna to make maggiits better to die by eating maggi rather than of dying due to hunger"
"79","after maggi now dettol soap fails lab test called ‘substandard’ however the actual weight in our tests was"
"80","i miss maggi like people miss their ex haan thodi kamini thi par humaara pyaar to sachcha tha"
"81","of maggi nestle has to be banned then most hotel food has to be tested for msg content"
"82","i need a new adventure in my life"
"83","when u want to eat ice cream but there is only maggi u have"
"84","yumm yumm maggi"
"85","fancamtara eunjung im goodnanjing concert chinese version"
"86","fanart"
"87","nestle pulls maggi noodles off indian shelves as food scare spreadsreuters"
"88","diyar spamming ministry of whateva no yoga for me today except contemplation of random news over a plate of maggi"
"89","fanart"
"90","cerelac starbucks mother dairy and more after maggi list of food items facing scrutiny"
"91","fancameunyeon playing on stagenanjing concert"
"92","why ban maggi and not cigarette irony"
"93","ara time tarainnanjing <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+613C><U+3E64><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+613C><U+3E64><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+613C><U+3E64>"
"94","i added a video to aplaylistmaggi is not bad for all people"
"95","word cloud of tweets about maggi nestle in the lasthours"
"96","have a maggi with two eggs lol"
"97","vijayna birthday ku free maggi noodles for all vijayna fanscheers leaderlead"
"98","no matter how blue i feelmaggi makes me feel a little betterjust like you guys make me little bit stronger<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E61> http…"
"99","a cup og maggi some slices of bread and the most important one bau masakan"
"100","never was a great fan of maggi didnt evn crave for it while it was raining but this great urge of having it now
whats wrong with me"
"101","india a breve i pusher di maggi 
sallo usiecostumi bravagente"
"102","seems after ipl maggi now its yoga for tweeples"
"103","whatre you talking about where the adventures at mad decent"
"104","if maggi was a cat"
"105","beat"
"106","current state of mind fuck itwhats the worst that could happen"
"107","asian correspondent the last maggi the hysteria and hypocrisy of india’s noodle banmaggiban magginoodles …"
"108","greatclassic maggi goreng pattaya <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E64><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E63><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E66>"
"109","halsey is murdering the game"
"110","how many times are you going to tweet this out i love maggi mee as much as the next guy but still"
"111","the last maggi the hysteria and hypocrisy of india’s noodle banmaggiban magginoodles http…"
"112","the last maggi the hysteria and hypocrisy of india’s noodle banmaggiban magginoodles"
"113","love not being able to sleep <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E61><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E61><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E61>"
"114","maggi has nothing to do with its failure of inspector raj due to corruption"
"115","will support rg if he promises to uplift maggi ban<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+623C><U+3E39><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+623C><U+3E39>"
"116","i miss maggi like people miss their ex haan thodi kamini thi par humaara pyaar to sachcha tha 

fall in love with t…"
"117","meanwhile malinga 
two mins after the maggi ban
<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E63>"
"118","and we are worried about maggi"
"119","trying to survive this summer without maggiengageinsummer"
"120","eat maggi boiled in delhi ground water for instant high dose of arsenic amp lead"
"121","virgos are very much aware of their faults and get annoyed when reminded of such"
"122","when i say im finethat really means im not fine <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E32>"
"123","only less thanpercent of maggi stock destroyedmoney stock news trading"
"124","i want a beer <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E64><U+623C><U+3E62>"
"125","sunday morning thrills <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E39><U+383C><U+3E38><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E30><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E62> maggi
it gives such a kick to do something that isnt supposed to be done"
"126","perfect weather to make maggi have hot mother dairy milk order burgers from kfc"
"127","nestle stops selling milk in punjab"
"128","please dont let this happen to me when i want to put an egg in my maggi <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+623C><U+3E31><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E30><U+613C><U+3E33>"
"129","spotted maggi packets in so many shopsasked couple of them why they arent removed themthey said still some customers are buying"
"130","greatclassic maggi goreng pattaya <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E64><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E63><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E66>"
"131","what maggi did to us"
"132","either sweet potato or maggi or both"
"133","well i wasnt expecting this one it was good while it lasted i reckon"
"134","this company failed fda norms in holland nd is worst than maggi"
"135","no matter how blue i feelmaggi makes me feel a little betterjust like you guys make me little bit stronger<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E61> http…"
"136","when chase ate a poisonous leaf"
"137","if celebrities r accused of promoting maggi then this abpnews shud also b heldcirculate false paid story"
"138","word cloud of tweets about maggi nestle in the lasthours"
"139","no matter how blue i feelmaggi makes me feel a little betterjust like you guys make me little bit stronger<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E61> http…"
"140","i feel like i should have a farewell maggi noodles feast bittersweet and possibly full of lead"
"141","fuel today is unleaded but food has lead maggi"
"142","maggi has so much lead that maida now looks like its healthiest ingredient in retrospect"
"143","fuck me i give up"
"144","you should because paul george is dope"
"145","yeah leave right"
"146","full fancamtarasugar free numberrolypolyhong kong youth music festival <U+263A><U+FE0F>"
"147","after maggi bangirls removed cooking as hobbyexpertise from their

scrapa
enda
alimony …"
"148","eunjung i only have jiyeon i only have you alone dont you know thatno wonder park ji want to marry you lol …"
"149","nanjing concert day by day hyomin fancam preview"
"150","for internationaldayofyoga woke up at am moved furniture of my house had coffee ate oats instead of maggi now m gonna go sleep again"
"151","jiyeons crazy amp funny momenttara nanjing concert"
"152","only less thanpercent of maggi stock destroyed"
"153","nestle stops selling milk in punjabindia today"
"154","maaannapurna food is god eat food with care like medicinesor soon u wl eat medicines as food maggi mcdonalds pizzahut pharma agents"
"155","shooting day for"
"156","european commission asks india for reports on maggiproductsafety"
"157","how many talented maggis are there in this state brophy slopethey are everywhere"
"158","today is maggi day having maggi for breakfast
sad about people who lost jobs because of this conspiracy against maggi"
"159","only less thanpercent of maggi stock destroyed"
"160","up others fail to find lead hong kong okays maggi"
"161","states fail to find lead in maggi noodles"
"162","first maggi noodles now haldiram’s to disrespect food is to disrespect annapurna devi"
"163","in numbers how nestle india will destroytonnes of maggiuncategorized destroy how nestle how nestle i…"
"164","the true meaning of perfection<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E64>"
"165","example of overexposure to the lead inside maggi"
"166","example of overexposure to the lead inside maggi"
"167","this summer was supposed to be great"
"168","maggi silence for him"
"169","i miss maggi like people miss their ex haan thodi kamini thi par humaara pyaar to sachcha tha"
"170","example of overexposure to the lead inside maggi"
"171","in numbers how nestle india will destroytonnes of maggi in numbers how…"
"172","maggi effect rs cr teeth for food regulator fssaithe indian express"
"173","fancamtara time to lovenanjing concert"
"174","congress leaders like raga could have shown maturity by attending yoga day at rajpath oh i forget pappu…"
"175","meanwhile malinga 
two mins after the maggi ban
<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E63>"
"176","congress leaders like raga could have shown maturity by attending yoga day at rajpath oh i forget pappu ate maggi"
"177","example of overexposure to the lead inside maggi"
"178","example of overexposure to the lead inside maggi"
"179","maggi she doesnt piss me off<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E61><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E61><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+613C><U+3E64>"
"180","only less thanpercent of maggi stock destroyed"
"181","bollywood is maggi of entertainment"
"182","also maggi"
"183","word cloud of tweets about maggi nestle in the lasthours"
"184","bollywood is maggi of entertainment"
"185","wat to looking in her she is now she is lower than maggi"
"186","my cutest baby"
"187","lol dumb dino"
"188","i will still eat maggi till the day i die <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E64><U+393C><U+3E63><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E62>"
"189","how indian stores started selling maggi in usa in the aftermath"
"190","rt misshijabimk rt kunaltweet maggiban followed by yogrishiramdevs products promotions ampnow yogadaythe…"
"191","watching i want that maggi"
"192","mama is proud from cookin maggi to cookin actual food proud"
"193","what about the child models in maggi ads what about the ad director copywriter ad agency will the govt hold them liable as well"
"194","you amp maggi make the difference
ramadankareem"
"195","tara oh ready go readynanjing concerthd"
"196","maggi noodles samples taken from ranchi pass test"
"197","maggi noodles samples taken from ranchi pass test"
"198","fans were shouting t ara yellow oceannanjing concert"
"199","chimes noodles not maggi"
"200","what about the child models in maggi ads what about the ad director copywriter ad agency will the govt hold them liable as well"
"201","lead found in maggidetergent found in mother dairy milk bc kuch dino ke baad log kahin yeh naa bol de ki salman ki movie mein script mili"
"202","meanwhile malinga 
two mins after the maggi ban
<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E63>"
"203","you amp maggi make the difference
ramadankareem"
"204","shooting day for"
"205","virgos have a tendency to be very critical of themselves"
"206","rt dippietheham rt ascorrespondent the last maggi the hysteria and hypocrisy of india’s noodle ban …"
"207","rt kunaltweet maggiban followed by yogrishiramdevs products promotions ampnow yogadaythe saint is set to ac…"
"208","hiked spencers with my mama today <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+613C><U+3E61><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E66><U+623C><U+3E63>"
"209","happy book birthday in the mouth of the wolf bywin a set of annotated copies now"
"210","you amp maggi make the difference
ramadankareem"
"211","stop eating beef stop eating maggi do yoga for one day in a year this will make you the healthiest person in the world"
"212","maggi effect rs cr teeth for food regulator fssaiindian expressallthenews"
"213","oh my gosh you just made my night"
"214","ugh totally lost that dope beanie miss you <U+2764><U+FE0F>"
"215","shooting day for"
"216","if this doesnt make u happy idk what will"
"217","stop eating beef stop eating maggi do yoga for one day in a year this will make you the healthiest person in the world"
"218","maida prices fallafter desperate flour mill owners dump large stock after maggi ban"
"219","the last maggi the hysteria and hypocrisy of india’s noodle banmaggiban magginoodles http…"
"220","india news latest news in india live news india india breaking newstimes of india stop eating maggi noodles"
"221","word cloud of tweets about maggi nestle in the lasthours"
"222","am i turning into the person i hated the most"
"223","a virgo can tell by one conversation if they like you or not"
"224","complete family goals <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E64><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+613C><U+3E39>"
"225","tomorrow justinformmva"
"226","sale of maggi noodles banned in jammu and kashmir for one month says state government"
"227","highkey i only want you"
"228","stop eating beef stop eating maggi do yoga for one day in a year this will make you the healthiest person in the world"
"229","preach it maggi"
"230","stop eating beef stop eating maggi do yoga for one day in a year this will make you the healthiest person in the world"
"231","maggilovers hunt contraband snack in new delhi after noodle ban"
"232","you amp maggi make the difference
ramadankareem"
"233","stop eating beef stop eating maggi do yoga for one day in a year this will make you the healthiest person in the world"
"234","you amp maggi make the difference
ramadankareem"
"235","happy book birthday in the mouth of the wolf bywin a set of annotated copies now"
"236","new seriously sassy pinch me im dreaming by maggi gibson book paperback"
"237","maggi why u do thiss<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E35>"
"238","stop eating beef stop eating maggi do yoga for one day in a year this will make you the healthiest person in the world"
"239","quote this tweet with a colour then check your private chat black <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E61><U+623C><U+3E36><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E61><U+623C><U+3E36>"
"240","i need me an african guy who can really dance

says a girl who cant properly sprinkle maggi in a pot of soup"
"241","happymoneypenny"
"242","you amp maggi make the difference
ramadankareem"
"243","now after maggidettol soap failed in quality check is this quality check is not performed by upa govor it is way to pressurise the company"
"244","while shopping for dad today if a gift seems a little expensive remember you can saveby switching to geico happyf…"
"245","i think im on the cusp of being friends with taylor swift"
"246","word cloud of tweets about maggi nestle in the lasthours"
"247","why maggi was banned"
"248","you amp maggi make the difference
ramadankareem"
"249","what is the real reason maggi has been destroyed in india"
"250","rt misshijabimk rt ascorrespondent the last maggi the hysteria and hypocrisy of india’s noodle ban …"
"251","rt ascorrespondent the last maggi the hysteria and hypocrisy of india’s noodle ban…"
"252","jungie really miss u jiyeona lol"
"253","post maggi stew companies step up food safety vigilbusiness line"
"254","eunjung should wear the socks with the word gay written on it"
"255","lol dont mess up with the dino unnie lol eunjung literally scraming for her life lol"
"256","soyeons instagram"
"257","in the land if minyeon no one can stop them to show their love on each other"
"258","i think ive slept in my bed maybenights this summer"
"259","i have to use my sisters old phone so i have no contacts text me if you want me to have your number"
"260","chocolate too and maggi as well chocolate maggi and ice cream can never be shared

ever"
"261","the last maggi the hysteria and hypocrisy of india’s noodle banmaggiban magginoodles"
"262","guess whos phone cracked again and this time its even worse <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E61><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E61><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E61><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E61><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E61><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E61><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E61><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E61><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E61><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E61><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E61><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E61><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E61><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E61><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E61><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E61><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E61><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E61><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E61><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E61><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E61><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E61><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E61><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E61><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E61><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E61><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E61><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E61><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E61><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E61><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E61><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E61><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E61>"
"263","maggi poison
maggi manufacturing stopped in our country but why not tobacco and wine"
"264","can believe they destroying maggi worthcrores which could have been distributed free to beggars atleast"
"265","shooting day for"
